DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5023035,Etoposide,33419-42-0,VJJPUSNTGOMMGY-MRVIYFEKSA-N,"(5S,5aR,8aR,9R)-9-(4-Hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydro-2H-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl 4,6-O-[(1R)-ethylidene]-beta-D-glucopyranoside",[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@]1([H])O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,"InChI=1S/C29H32O13/c1-11-36-9-20-27(40-11)24(31)25(32)29(41-20)42-26-14-7-17-16(38-10-39-17)6-13(14)21(22-15(26)8-37-28(22)33)12-4-18(34-2)23(30)19(5-12)35-3/h4-7,11,15,20-22,24-27,29-32H,8-10H2,1-3H3/t11-,15+,20-,21-,22+,24-,25-,26-,27-,29+/m1/s1",C29H32O13,588.562,588.184291,44,15298,220,3,1,70/324,22.0,324
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020036,Aflatoxin,1402-68-2,,,,,,, ,11,6297,,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020584,Ethanol,64-17-5,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Ethanol,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",C2H6O,46.069,46.041865,99,79207,1912,11315,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020465,Diethylstilbestrol,56-53-1,RGLYKWWBQGJZGM-ISLYRVAYSA-N,"4,4'-[(3E)-Hex-3-ene-3,4-diyl]diphenol",CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3/b18-17+",C18H20O2,268.356,268.146330,72,8326,231,1,1,394/806,49.0,806
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020921,2-Naphthylamine,91-59-8,JBIJLHTVPXGSAM-UHFFFAOYSA-N,Naphthalen-2-amine,NC1=CC2=C(C=CC=C2)C=C1,"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",C10H9N,143.189,143.073499,69,1091,156,33,1,62/625,10.0,625
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)",101-14-4,IBOFVQJTBBUKMU-UHFFFAOYSA-N,"4,4'-Methylenebis(2-chloroaniline)",NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2",C13H12Cl2N2,267.15,266.037754,72,109,116,42,1,49/234,21.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80932734,(~32~P)Phosphane,14596-37-3,XYFCBTPGUUZFHI-OUBTZVSYSA-N,(~32~P)Phosphane,[32PH3],InChI=1S/H3P/h1H3/i1+1,H3[32P],34.998,34.997382,3,,18,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023940,Cadmium,7440-43-9,BDOSMKKIYDKNTQ-UHFFFAOYSA-N,,[Cd],InChI=1S/Cd,Cd,112.414,113.903365,68,29395,,1494,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7030066,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,OGBQILNBLMPPDP-UHFFFAOYSA-N,"2,3,4,7,8-Pentachlorodibenzo[b,d]furan",ClC1=CC2=C(C=C1Cl)C1=C(O2)C(Cl)=C(Cl)C(Cl)=C1,InChI=1S/C12H3Cl5O/c13-6-1-4-5-2-8(15)10(16)11(17)12(5)18-9(4)3-7(6)14/h1-3H,C12H3Cl5O,340.41,337.862653,36,94,41,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021315,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,HGUFODBRKLSHSI-UHFFFAOYSA-N,"2,3,7,8-Tetrachlorooxanthrene",ClC1=C(Cl)C=C2OC3=CC(Cl)=C(Cl)C=C3OC2=C1,InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H,C12H4Cl4O2,321.96,319.896540,66,13,108,2,1,12/234,5.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020263,Chlorambucil,305-03-3,JCKYGMPEJWAADB-UHFFFAOYSA-N,4-{4-[Bis(2-chloroethyl)amino]phenyl}butanoic acid,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,"InChI=1S/C14H19Cl2NO2/c15-8-10-17(11-9-16)13-6-4-12(5-7-13)2-1-3-14(18)19/h4-7H,1-3,8-11H2,(H,18,19)",C14H19Cl2NO2,304.21,303.079284,51,3575,263,2,1,104/431,24.0,431
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020804,Melphalan,148-82-3,SGDBTWWWUNNDEQ-LBPRGKRZSA-N,4-[Bis(2-chloroethyl)amino]-L-phenylalanine,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)/t12-/m0/s1",C13H18Cl2N2O2,305.2,304.074533,43,7006,165,1,1,47/234,20.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40872384,Erionite,12510-42-8,,,,,,, ,13,69,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1034187,Tamoxifen,10540-29-1,NKANXQFJJICGDU-QPLCGJKRSA-N,"2-{4-[(1Z)-1,2-Diphenylbut-1-en-1-yl]phenoxy}-N,N-dimethylethan-1-amine",CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,"InChI=1S/C26H29NO/c1-4-25(21-11-7-5-8-12-21)26(22-13-9-6-10-14-22)23-15-17-24(18-16-23)28-20-19-27(2)3/h5-18H,4,19-20H2,1-3H3/b26-25-",C26H29NO,371.524,371.224915,64,17257,268,,1,356/739,48.0,739
