DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9059753,"Dibenzo[a,l]pyrene",191-30-0,JNTHRSHGARDABO-UHFFFAOYSA-N,"Naphtho[1,2,3,4-pqr]tetraphene",C1=CC=C2C(=C1)C=C1C=CC3=C4C(=CC=C3)C3=CC=CC=C3C2=C14,InChI=1S/C24H14/c1-2-8-18-16(6-1)14-17-13-12-15-7-5-11-20-19-9-3-4-10-21(19)24(18)23(17)22(15)20/h1-14H,C24H14,302.376,302.109550,31,118,61,,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8023638,Teniposide,29767-20-2,NRUKOCRGYNPUPR-QBPJDGROSA-N,"(5S,5aR,8aR,9R)-9-(4-Hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydro-2H-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl 4,6-O-[(thiophen-2-yl)methylidene]-beta-D-glucopyranoside",[H][C@]12COC(=O)[C@]1([H])[C@]([H])(C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@]([H])(O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1,"InChI=1S/C32H32O13S/c1-37-19-6-13(7-20(38-2)25(19)33)23-14-8-17-18(42-12-41-17)9-15(14)28(16-10-39-30(36)24(16)23)44-32-27(35)26(34)29-21(43-32)11-40-31(45-29)22-4-3-5-46-22/h3-9,16,21,23-24,26-29,31-35H,10-12H2,1-2H3/t16-,21+,23+,24-,26+,27+,28+,29+,31+,32-/m0/s1",C32H32O13S,656.66,656.156362,29,992,17,2,1,25/78,32.0,78
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",79-94-7,VEORPZCZECFIRK-UHFFFAOYSA-N,"4,4'-(Propane-2,2-diyl)bis(2,6-dibromophenol)",CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,"InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3",C15H12Br4O2,543.875,539.757082,84,354,141,9,1,306/735,42.0,735
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3031444,Indium phosphide,22398-80-7,MPXXZJLONFEIKQ-UHFFFAOYSA-N,,[InH3].P#[In],InChI=1S/2In.P,In2P,260.61,260.781520,26,135,,,2,1/239,0.0,239
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021435,Vinyl fluoride,75-02-5,XUCNUKMRBVNAPB-UHFFFAOYSA-N,Fluoroethene,FC=C,"InChI=1S/C2H3F/c1-2-3/h2H,1H2",C2H3F,46.044,46.021878,41,35,60,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2023222,Lomustine,13010-47-4,GQYIWUVLTXOXAJ-UHFFFAOYSA-N,"N-(2-Chloroethyl)-N'-cyclohexyl-N-nitrosourea",ClCCN(N=O)C(=O)NC1CCCCC1,"InChI=1S/C9H16ClN3O2/c10-6-7-13(12-15)9(14)11-8-4-2-1-3-5-8/h8H,1-7H2,(H,11,14)",C9H16ClN3O2,233.7,233.093105,32,1804,159,12,1,0/234,0.0,234
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021432,Vinyl bromide,593-60-2,INLLPKCGLOXCIV-UHFFFAOYSA-N,Bromoethene,BrC=C,"InChI=1S/C2H3Br/c1-2-3/h2H,1H2",C2H3Br,106.95,105.941813,52,55,103,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020791,Malathion,121-75-5,JXSJBGJIGXNWCI-UHFFFAOYSA-N,Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,"InChI=1S/C10H19O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8H,5-7H2,1-4H3",C10H19O6PS2,330.35,330.036068,103,2028,157,68,1,131/765,17.0,765
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9021427,Urethane,51-79-6,JOYRKODLDBILNP-UHFFFAOYSA-N,Ethyl carbamate,CCOC(N)=O,"InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)",C3H7NO2,89.094,89.047678,72,4595,245,17,1,1/582,0.0,582
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020745,"2-Amino-3-methyl-3H-imidazo[4,5-f]quinoline",76180-96-6,ARZWATDYIYAUTA-UHFFFAOYSA-N,"3-Methyl-3H-imidazo[4,5-f]quinolin-2-amine",CN1C(N)=NC2=C1C=CC1=C2C=CC=N1,"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",C11H10N4,198.229,198.090546,28,474,72,,1,19/234,8.0,234
