FULL_NAME,CAS_REGISTRY_NUM,vintage,mean_concentration_black,mean_concentration_amerind,mean_concentration_hispanic,mean_concentration_asian,mean_concentration_pacisl,mean_concentration_nhw,mean_concentration_lowinc,mean_concentration_verylowinc,mean_concentration_medhighinc,contributing_pws
PFOS,1763-23-1,ucmr3,0.0285126421484983,0.0285497689461014,0.0285725922454031,0.0284499871405878,0.0284116254729835,0.0284628505498265,0.0285173214493657,0.02851360115142,0.0284813855383259,4660
QUINOLINE,91-22-5,ucmr4,0.014179839196014,0.0141985398022054,0.0141941155041245,0.0143681416390525,0.0142279518176684,0.0142312646436952,0.0142042274327417,0.0142034868981737,0.0142350190740848,4823
TNT,118-96-7,ucmr2,0.565685424949235,0.565685424949237,0.565685424949238,0.565685424949235,0.565685424949237,0.565685424949239,0.565685424949237,0.565685424949239,0.565685424949239,3794
TRIBUFOS,78-48-8,ucmr4,0.0494989800951454,0.0494983530262235,0.0494978058552288,0.0494976181008109,0.0494974746830582,0.0495002599042602,0.0494997407695696,0.04949962795455,0.0494991278056551,4820
HAA5,"",ucmr4,18.8103985528952,14.6845753448944,14.8074471677586,16.6726052526976,10.6308975296902,16.1040847797536,16.4702464965088,16.7533181880776,16.1558199659857,4751
HAA6BR,"",ucmr4,5.91480192919289,6.68094499767368,6.94084059472484,5.69502492029947,4.24938625786913,6.00006572749896,6.23555676096916,6.20342098127724,6.1233949016976,4751
HAA9,"",ucmr4,24.0693328919202,20.1881293816771,20.275438007588,21.5149842135402,13.9652292612589,21.2278018174275,21.6975197649215,21.9701598782851,21.3307111588928,4751
ASBESTOS,1332-21-4,syr3,349.606541040036,1018.92579159972,208.739790421162,113.578704298316,50.3280567156547,746.652239409594,490.433403753942,456.149147806509,509.073542098154,4003
DIBROMOACETIC ACID,631-64-1,syr4,0.982958530728963,1.14075536031616,1.64638097974685,1.23223124036096,1.10996372496433,1.07555741845308,1.24424960811519,1.24733753409887,1.16669863665856,28168
TRICHLOROMETHANE,67-66-3,syr4,15.4544150509197,13.8287346704213,10.3377071219735,12.8489531553755,7.95288605971886,13.3365842618406,13.092320883092,13.3805774324633,12.9230303337771,32997
