CASRN,NAME,DTXSID,mean_conc_black,mean_conc_amerind,mean_conc_hispanic,mean_conc_asian,mean_conc_pacisl,mean_conc_nhw,mean_conc_lowinc,mean_conc_verylowinc,mean_conc_medhighinc,contributing_cbgs
106-88-7,"1,2-Epoxybutane",DTXSID6020569,0.00000643878871099841,0.000000728775827087357,0.0000104768473536521,0.0000045592618405657,0.00000114957099938067,0.00000309701813388349,0.00000534006670115504,0.00000501655402047327,0.00000478576834049688,18285
106-89-8,Epichlorohydrin,DTXSID1020566,0.000131390148457435,0.0000580997656664636,0.00014474373162606,0.0000670902678539002,0.0000756395553477324,0.0000667343004894387,0.000111842237194046,0.000106493692476112,0.0000808379238683667,29813
106-93-4,"1,2-Dibromoethane",DTXSID3020415,0.000000464316673878958,0.0000000357514061166254,0.0000000736693149620584,0.0000000709638233549597,0.0000000346383123121103,0.0000000592932254745243,0.000000165540388345576,0.000000207079140641658,0.0000000927772624927948,10443
106-94-5,1-Bromopropane,DTXSID6021874,0.00253338044515621,0.000790783043904423,0.00276175643171421,0.00447790764911114,0.0135633788637681,0.0025149927973845,0.00249315772558623,0.00262466481000238,0.00278656761562136,47268
106-99-0,"1,3-Butadiene",DTXSID3020203,0.000868381209465973,0.00017695134189156,0.00153796475835669,0.000365319785102048,0.000248699113150679,0.000367290300999253,0.000835068796756299,0.000877293667138611,0.000571870789650447,71766
107-02-8,Acrolein,DTXSID5020023,0.0000362564443391797,0.0000148284589988042,0.0000337371716971054,0.0000171913480047921,0.0000133660515202525,0.0000400858749415598,0.0000419540092628474,0.0000416742267702417,0.0000345031257199265,29487
107-06-2,"1,2-Dichloroethane",DTXSID6020438,0.000550473274193227,0.0000474468887071147,0.000274497066007832,0.0000820877442313782,0.0000390008711299338,0.000186651701924344,0.000299435230818936,0.000309941647987928,0.000217020941069104,15593
107-13-1,Acrylonitrile,DTXSID5020029,0.000249719092322808,0.0000547432672364525,0.0000832985042291377,0.0000573211968583203,0.0000331565705711804,0.000159950243590056,0.000176562268622586,0.000179035829239941,0.000138443555410338,52204
107-30-2,Chloromethyl methyl ether,DTXSID6020307,0.00000024233545447213,0.000000426335177102546,0.000000228322645687497,0.000000409387601984361,0.0000000341409439990598,0.00000131488674408845,0.000000925656931533928,0.00000086050850794926,0.00000088043056865077,718
108-05-4,Vinyl acetate,DTXSID3021431,0.000906169814926526,0.000215151497089884,0.00107901539788717,0.000648473182805026,0.000250777133426868,0.000538480203743837,0.00077844756865666,0.000801893190467656,0.000654435151782127,71431
108-10-1,4-Methyl-2-pentanone,DTXSID5021889,0.00441555818740149,0.00146708208194054,0.00298409158659159,0.00191066146995009,0.00154994600279221,0.0022312577277035,0.00302781854247565,0.00317562112063423,0.0024544140892247,142656
108-60-1,bis(2-Chloro-1-methylethyl) ether,DTXSID4020167,0.00000194187690335876,0.000000265062133101223,0.00000187178545480269,0.0000000945061598475715,0.000000593808389909556,0.00000041276553046119,0.00000140756377370801,0.00000105424467879164,0.000000632699374933128,706
108171-26-2,C10-12 chloroalkanes,DTXSID10872316,0.000000000176223006621468,0.0000000000704530009030738,0.000000000293843934117728,0.0000000000862092499990719,0.0000000000564504496626368,0.000000000102037617325403,0.000000000175968150306492,0.000000000174128269639636,0.000000000133759114975455,3728
110-00-9,Furan,DTXSID6020646,0.0001332081630151,0.0000117095041693393,0.0000153224359011269,0.0000076251226190738,0.00000107324049839071,0.0000127764873847751,0.000050908559786354,0.0000601805315908146,0.0000195819649610322,2178
110-86-1,Pyridine,DTXSID9021924,0.0000468654234031951,0.0000055175310467191,0.0000202096886877672,0.0000203071409885487,0.00000706246430298696,0.0000310685600079521,0.0000382756623827135,0.0000398846234072355,0.000027179006705176,43125
111-42-2,Diethanolamine,DTXSID3021932,0.000101253521854043,0.0000389802064806231,0.000173268089247942,0.000056464275790716,0.0000699338034727065,0.0000258109232329446,0.0000972457883530654,0.000109156434855141,0.0000519999917113034,79229
111-44-4,Bis(chloroethyl) ether,DTXSID9020168,0.000000470190220732088,0.00000390500603662928,0.000000738122363939048,0.000000271746882172099,0.000000243920303661649,0.000000474485849405245,0.000000663872184909425,0.000000648453454561177,0.000000497999301993843,9803
1120-71-4,"1,3-Propane sultone",DTXSID8021195,0.00000000197767315687351,0.000000000252763164774879,0.00000000163930117800805,0.00000000101683986766829,0.000000000141865418731002,0.00000000205160977231689,0.00000000217625971066131,0.00000000216670136035818,0.00000000176130434795882,1459
114-26-1,Propoxur,DTXSID7021948,0.000000000236069695963041,0.0000000000179625143778138,0.0000000000202677948350315,0.0000000000028957733908791,0.0000000000000564577465315433,0.0000000000326217009472088,0.0000000000731864675693841,0.0000000000876970018431802,0.0000000000447786035376813,95
116-14-3,Tetrafluoroethylene,DTXSID6021325,0.000119818080983462,0.0000337152687867505,0.000037321775703636,0.0000285536004361161,0.0000120815870879813,0.0000845524993405156,0.0000822136449559705,0.00008225194113538,0.000073019672044963,5167
117-81-7,Di(2-ethylhexyl) phthalate,DTXSID5020607,0.00000648376330186091,0.0000029132710927217,0.0000120352235639842,0.0000189823058816508,0.0000157602879225619,0.00000751679102407134,0.00000864816843233712,0.00000846709464807804,0.00000914469153235724,47346
118-74-1,Hexachlorobenzene,DTXSID2020682,0.000000202239397287817,0.0000000371241145243824,0.0000000834656151870987,0.0000000977402155806482,0.0000000208946758025937,0.000000272920638289375,0.000000219631790946702,0.00000025670694941553,0.000000208908538414749,16959
119-90-4,C.I. Disperse Black 6,DTXSID3025091,0.000000000458059309380562,0.000000000105578401475529,0.00000000024684328930849,0.000000000091352707232517,0.0000000000555791928271372,0.00000000018374339735572,0.000000000223788514353832,0.000000000226223732960888,0.000000000217640435619115,1282
119-93-7,"3,3'-Dimethylbenzidine",DTXSID5024059,0.000000000313702713313335,0.0000000000764757956570165,0.00000000017745602683416,0.0000000000588767718358726,0.0000000000355993084156485,0.000000000135155922473163,0.000000000153517943360605,0.000000000151888729283665,0.000000000158509175980362,1282
120-12-7,Anthracene,DTXSID0023878,0.0000124418400748251,0.0000109922946561582,0.0000142769738770513,0.0000109178657108916,0.0000143895873055172,0.00000587291039006188,0.00000994615322009533,0.0000108517875410754,0.0000081951655732472,46598
120-71-8,2-Methoxy-5-methylaniline,DTXSID1020350,0.0000000157233947164855,0.000000000803636385974573,0.000000000476692759641885,0.00000000117894286215704,0.00000000122683288976068,0.00000000174093501964339,0.00000000482658166182601,0.00000000562803100239504,0.0000000025729298288448,1788
