Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
Cadmium (μg/g CrCl),7440-43-9,"HH Income: $75,000 or more",0.2062,0.3298,0.6032,0.8635,2010-2011
Cesium (μg/g CrCl),7440-46-2,"HH Income: $75,000 or more",3.608,4.9433,6.9207,8.6274,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"HH Income: $75,000 or more",0.4547,0.7471,1.1766,1.8624,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"HH Income: $75,000 or more",4.5855,7.3105,11.2817,17.1931,2010-2011
Lead (μg/g CrCl),7439-92-1,"HH Income: $75,000 or more",,0.5349,0.9134,1.102,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,"HH Income: $75,000 or more",45.0177,68.4323,104.0279,138.3416,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,"HH Income: $75,000 or more",,0.886,1.4225,1.8472,2010-2011
Platinum (μg/g CrCl),7440-06-4,"HH Income: $75,000 or more",,,,0.2911,2010-2011
TCPy (μg/g CrCl),6515-38-4,"HH Income: $75,000 or more",1.175,2.0056,3.2508,4.6291,2010-2011
Thallium (μg/g CrCl),7440-28-0,"HH Income: $75,000 or more",0.1279,0.1899,0.2658,0.3699,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"HH Income: $75,000 or more",13.3613,26.3191,57.2856,88.6337,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"HH Income: $75,000 or more",,0.1847,0.3534,0.6295,2010-2011
Uranium (μg/g CrCl),7440-61-1,"HH Income: $75,000 or more",,,,0.0231,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"HH Income: $75,000 or more",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"HH Income: $75,000 or more",,0.0918,0.5338,1.3736,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"HH Income: $75,000 or more",0.1509,0.7931,2.7645,6.3586,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Age: 12-19 years,0.3401,0.6362,1.5968,3.4494,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Age: 12-19 years,,,0.0869,0.1273,2010-2011
